,Instructor,Course,Term,Enroll,Evals,Rcmnd_Class,Rcmnd_Instructor,Study_Hrs_Per_Wk,Grade_Expected,Grade,Link
834,"Paddock, Mark",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,SU09,52,13,69.2,92.3,5.42,3.58,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=656458
835,"Hicks, J. Charles","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",SU09,51,19,78.9,94.7,8.18,3.26,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=656460
836,"Hicks, J. Charles","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",SU09,36,10,88.9,62.5,12.5,3.11,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=665085
837,"Paddock, Mark","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",SU09,64,23,69.6,78.3,4.33,3.35,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=657092
838,"Pathria, Raj K.",PHYS 2D  - Phys-Relativity&Quantm Physics A,SU09,73,27,70.4,55.6,9.69,3.04,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=657094
839,"Shpyrko, Oleg",PHYS 100C  - Electromagnetism               A,SP09,28,16,100.0,100.0,6.1,3.27,3.41,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653723
840,"Murphy, Thomas",PHYS 12 - Energy and the Environment     A,SP09,79,42,75.6,90.2,2.7,3.32,3.3,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653721
841,"Driscoll, Charles F.",PHYS 120A  - Physical Measurements          A,SP09,42,33,81.8,93.9,10.8,3.59,3.31,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653725
842,"Sham, Lu Jeu",PHYS 130A  - Quantum Physics                A,SP09,53,35,76.5,23.5,8.26,2.85,2.52,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653729
843,"Intriligator, Kenneth Arthur",PHYS 137 - String Theory                  A,SP09,18,14,69.2,100.0,7.07,3.5,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653732
844,"Driscoll, Charles F.",PHYS 151 - Elementary Plasma Physics      A,SP09,16,8,100.0,100.0,6.25,2.83,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653735
845,"Keating, Brian",PHYS 162 - Galaxies and Cosmology         A,SP09,15,10,90.0,100.0,4.9,2.9,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653738
846,"Paar, Hans Peter",PHYS 192 - Senior Seminar in Physics      A,SP09,10,7,100.0,100.0,0.5,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=656539
847,"Yagil, Avi",PHYS 1A  - Mechanics                      A,SP09,229,42,72.5,79.5,5.52,3.39,2.46,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653611
848,"Anderson, Michael G.",PHYS 1B  - Electricity and Magnetism      A,SP09,340,173,77.3,87.8,4.63,3.37,2.85,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653621
849,"Smith, Douglas E","PHYS 1C  - Waves, Optics & Modern Physics A",SP09,161,88,62.4,44.0,3.31,3.63,2.78,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653635
850,"Smith, Douglas E","PHYS 1C  - Waves, Optics & Modern Physics B",SP09,343,210,60.3,48.8,3.54,3.55,2.78,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653636
851,"Smith, Douglas E","PHYS 1C  - Waves, Optics & Modern Physics C",SP09,360,194,61.3,49.7,2.9,3.59,2.78,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653637
852,"Dudko, Olga",PHYS 2A  - Physics-Mechanics              A,SP09,223,111,84.7,87.4,5.45,3.18,2.75,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653671
853,"Grinstein, Benjamin",PHYS 2B  - Phys-Electricity and Magnetism A,SP09,205,113,72.1,61.3,6.23,3.07,2.17,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653673
854,"Griest, Kim",PHYS 2B  - Phys-Electricity and Magnetism B,SP09,339,224,80.5,91.3,5.1,3.24,2.7,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653675
855,"Yagil, Avi",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,SP09,265,93,54.9,78.0,4.91,3.18,2.85,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653677
856,"Okamura, Melvin Y.","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",SP09,237,53,84.3,58.8,4.54,3.44,2.68,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=653693
